,date,open,close,high,low,volume,code
0,2010-01-04,4.062,4.034,4.081,4.023,14422.6,002203
1,2010-01-05,4.067,4.101,4.131,3.995,29926.69,002203
2,2010-01-06,4.101,4.101,4.2,4.045,40194.25,002203
3,2010-01-07,4.123,4.006,4.206,3.984,38158.35,002203
4,2010-01-08,3.976,4.051,4.051,3.885,24939.06,002203
5,2010-01-11,4.092,4.029,4.112,4.006,19227.79,002203
6,2010-01-12,4.045,4.261,4.336,4.031,96367.96,002203
7,2010-01-13,4.156,4.261,4.333,4.128,68656.62,002203
8,2010-01-14,4.27,4.339,4.35,4.22,66166.37,002203
9,2010-01-15,4.358,4.339,4.389,4.27,44366.67,002203
10,2010-01-18,4.339,4.433,4.439,4.339,48080.1,002203
11,2010-01-19,4.4,4.295,4.414,4.253,50470.07,002203
12,2010-01-20,4.3,4.117,4.314,4.095,36131.62,002203
13,2010-01-21,4.112,4.137,4.175,4.073,21437.14,002203
14,2010-01-22,4.081,4.042,4.112,3.965,23053.49,002203
15,2010-01-25,4.004,4.009,4.067,3.976,9628.75,002203
16,2010-01-26,4.009,3.84,4.051,3.824,16029.42,002203
17,2010-01-27,3.843,3.768,3.873,3.754,13316.7,002203
18,2010-01-28,3.768,3.79,3.804,3.71,8029.36,002203
19,2010-01-29,3.79,3.779,3.837,3.727,10758.12,002203
20,2010-02-01,3.74,3.674,3.757,3.61,13002.22,002203
21,2010-02-02,3.724,3.713,3.848,3.688,13128.26,002203
22,2010-02-03,3.713,3.815,3.837,3.632,11750.07,002203
23,2010-02-04,3.788,3.799,3.865,3.74,9653.76,002203
24,2010-02-05,3.713,3.677,3.76,3.666,9861.47,002203
25,2010-02-08,3.74,3.679,3.74,3.632,7787.07,002203
26,2010-02-09,3.663,3.713,3.74,3.657,6335.07,002203
27,2010-02-10,3.776,3.746,3.788,3.707,6387.23,002203
28,2010-02-11,3.76,3.763,3.788,3.735,7778.6,002203
29,2010-02-12,3.821,3.793,3.824,3.774,7049.68,002203
30,2010-02-22,3.801,3.804,3.846,3.801,7356.54,002203
31,2010-02-23,3.79,3.757,3.793,3.671,9213.04,002203
32,2010-02-24,3.727,3.824,3.832,3.691,8344.52,002203
33,2010-02-25,3.824,3.926,3.932,3.812,16677.73,002203
34,2010-02-26,3.926,3.879,3.926,3.851,10853.91,002203
35,2010-03-01,4.156,4.195,4.267,4.018,89912.04,002203
36,2010-03-02,4.062,4.015,4.15,4.015,38403.39,002203
37,2010-03-03,4.026,4.051,4.084,3.979,24440.12,002203
38,2010-03-04,4.051,3.851,4.084,3.846,30198.15,002203
39,2010-03-05,3.84,3.896,3.918,3.826,14270.9,002203
40,2010-03-08,3.901,3.923,3.934,3.879,9736.93,002203
41,2010-03-09,3.901,3.923,3.948,3.868,9939.27,002203
42,2010-03-10,3.926,3.846,3.957,3.84,18804.25,002203
43,2010-03-11,3.846,3.796,3.873,3.774,15820.68,002203
44,2010-03-12,3.782,3.796,3.829,3.768,9911.26,002203
45,2010-03-15,3.793,3.718,3.793,3.713,7163.26,002203
46,2010-03-16,3.76,3.776,3.776,3.716,8854.79,002203
47,2010-03-17,3.774,3.84,3.851,3.774,9689.7,002203
48,2010-03-18,3.84,3.851,3.865,3.824,10277.79,002203
49,2010-03-19,3.862,3.921,3.932,3.832,25999.61,002203
50,2010-03-22,3.907,3.896,3.907,3.854,12152.07,002203
51,2010-03-23,3.921,3.857,3.921,3.835,11412.15,002203
52,2010-03-24,3.865,3.907,3.934,3.862,15687.46,002203
53,2010-03-25,3.907,3.788,3.907,3.768,13232.28,002203
54,2010-03-26,3.812,3.837,3.851,3.785,8280.67,002203
55,2010-03-29,3.843,3.94,3.954,3.843,24910.74,002203
56,2010-03-30,3.973,4.026,4.054,3.94,38307.33,002203
57,2010-03-31,4.018,4.17,4.198,3.99,70331.56,002203
58,2010-04-01,4.117,4.164,4.225,4.117,44578.83,002203
59,2010-04-02,4.164,4.12,4.184,4.101,24387.66,002203
60,2010-04-06,4.12,4.153,4.156,4.056,24304.96,002203
61,2010-04-07,4.15,4.095,4.156,4.067,15678.02,002203
62,2010-04-08,4.076,4.092,4.128,4.059,19824.48,002203
63,2010-04-09,4.101,4.198,4.228,4.095,47346.57,002203
64,2010-04-12,4.198,4.153,4.289,4.128,41983.53,002203
65,2010-04-13,4.137,4.02,4.162,3.921,37740.39,002203
66,2010-04-14,4.023,4.07,4.095,4.006,16098.59,002203
67,2010-04-15,4.065,3.998,4.103,3.984,18058.79,002203
68,2010-04-16,3.993,4.001,4.045,3.948,14844.75,002203
69,2010-04-19,3.99,3.782,4.004,3.776,18617.52,002203
70,2010-04-20,3.768,3.843,3.865,3.757,13606.7,002203
71,2010-04-21,3.846,3.926,3.934,3.821,14773.32,002203
72,2010-04-22,3.909,3.929,3.998,3.829,21796.34,002203
73,2010-04-23,3.929,4.004,4.031,3.879,26691.26,002203
74,2010-04-26,4.006,3.976,4.054,3.948,13162.62,002203
75,2010-04-27,3.959,3.851,3.976,3.768,14612.73,002203
76,2010-04-28,3.812,3.796,3.818,3.729,12630.14,002203
77,2010-04-29,3.821,3.727,3.873,3.727,10803.64,002203
78,2010-04-30,3.727,3.657,3.782,3.505,14361.95,002203
79,2010-05-04,3.588,3.616,3.682,3.569,6651.89,002203
80,2010-05-05,3.574,3.663,3.663,3.458,13108.94,002203
81,2010-05-06,3.599,3.519,3.668,3.519,10059.66,002203
82,2010-05-07,3.491,3.546,3.56,3.347,22076.79,002203
83,2010-05-10,3.488,3.668,3.704,3.477,31074.94,002203
84,2010-05-11,3.721,3.685,3.815,3.657,36618.01,002203
85,2010-05-12,3.657,3.358,3.657,3.328,18361.48,002203
86,2010-05-13,3.35,3.414,3.438,3.258,12131.3,002203
87,2010-05-14,3.411,3.369,3.414,3.347,8665.21,002203
88,2010-05-17,3.369,3.037,3.394,3.037,12762.72,002203
89,2010-05-18,3.037,3.053,3.092,2.92,10353.91,002203
90,2010-05-20,3.034,2.901,3.07,2.884,9386.97,002203
91,2010-05-21,2.66,2.887,2.895,2.66,10428.09,002203
92,2010-05-24,2.909,3.015,3.042,2.909,18331.43,002203
93,2010-05-25,2.99,3.02,3.156,2.979,20394.16,002203
94,2010-05-26,3.297,3.322,3.322,3.269,24189.57,002203
95,2010-05-27,3.339,3.588,3.655,3.322,83471.62,002203
96,2010-05-28,3.546,3.657,3.657,3.444,56638.95,002203
97,2010-05-31,3.549,3.45,3.635,3.422,38795.47,002203
98,2010-06-01,3.38,3.38,3.458,3.269,24306.59,002203
99,2010-06-02,3.325,3.394,3.394,3.242,22120.4,002203
100,2010-06-03,3.394,3.305,3.43,3.297,18229.17,002203
101,2010-06-04,3.256,3.294,3.308,3.181,16755.49,002203
102,2010-06-07,3.186,3.197,3.264,3.131,18414.88,002203
103,2010-06-08,3.164,3.272,3.292,3.164,20368.77,002203
104,2010-06-09,3.278,3.372,3.375,3.256,21450.25,002203
105,2010-06-10,3.353,3.361,3.38,3.305,13373.14,002203
106,2010-06-11,3.353,3.444,3.477,3.353,28213.65,002203
107,2010-06-17,3.466,3.344,3.477,3.339,12812.89,002203
108,2010-06-18,3.325,3.131,3.372,3.048,15245.72,002203
109,2010-06-21,3.159,3.242,3.242,3.062,10286.83,002203
110,2010-06-22,3.228,3.372,3.394,3.214,14482.16,002203
